
Gurobi 12.0.3 (win64) logging started Sun Aug 23 21:58:13 2026

Set parameter LogFile to value "C:\Users\TECNO-MASTER\Desktop\Elmo_infrastructure_sizing_NP-\output\DCH_agosto\Costo_variable\Swap_restringido\Swap_variable_3estaciones_160kW_Descomp\station_2_d121_stage1\ELMO_log.txt"
Set parameter Threads to value 1
Set parameter Heuristics to value 0.5
Set parameter MIPFocus to value 3
Set parameter Presolve to value 2
Set parameter FlowCoverCuts to value 2
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900K, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  1200
MIPGap  0.05
Heuristics  0.5
MIPFocus  3
FlowCoverCuts  2
Presolve  2
Threads  1

Optimize a model with 26933 rows, 54733 columns and 250282 nonzeros
Model fingerprint: 0x52f2bee3
Variable types: 2129 continuous, 52604 integer (19481 binary)
Coefficient statistics:
  Matrix range     [1e+00, 3e+02]
  Objective range  [8e-03, 8e+04]
  Bounds range     [1e+00, 1e+01]
  RHS range        [1e+00, 1e+04]
Presolve removed 25547 rows and 45437 columns
Presolve time: 0.13s
Presolved: 1386 rows, 9296 columns, 31250 nonzeros
Variable types: 216 continuous, 9080 integer (8676 binary)
Root relaxation presolved: 1386 rows, 9296 columns, 31250 nonzeros


Use crossover to convert LP symmetric solution to basic solution...

Root relaxation: objective 2.774099e+05, 4344 iterations, 0.06 seconds (0.08 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  7797  7265 290001.601  137   30 309503.268 290001.601  6.30%  41.4  360s
  7941  7409 290001.601  134   18 309503.268 290001.601  6.30%  41.6  365s
  8096  7564 290001.601  140   14 309503.268 290001.601  6.30%  41.6  370s
  8201  7669 290001.601  152   14 309503.268 290001.601  6.30%  41.9  375s
  8339  7807 290001.601  154    8 309503.268 290001.601  6.30%  41.9  380s
  8487  7955 290001.601  152   28 309503.268 290001.601  6.30%  42.2  385s
  8625  8093 290001.601  137   16 309503.268 290001.601  6.30%  42.1  390s
  8731  8199 290001.601  135   12 309503.268 290001.601  6.30%  42.1  395s
  8861  8329 290001.601  135   10 309503.268 290001.601  6.30%  42.1  400s
  8991  8459 290001.601  142   22 309503.268 290001.601  6.30%  42.1  405s
  9125  8593 290001.601  126   10 309503.268 290001.601  6.30%  42.1  410s
  9262  8730 290001.601  136   26 309503.268 290001.601  6.30%  42.0  415s
  9359  8827 290001.601  127   12 309503.268 290001.601  6.30%  41.9  420s
  9492  8960 290001.601  133   10 309503.268 290001.601  6.30%  41.6  425s
  9624  9092 290001.601  136   10 309503.268 290001.601  6.30%  41.6  430s
  9774  9242 290001.601  157   16 309503.268 290001.601  6.30%  41.5  435s
  9901  9369 290001.601  133   26 309503.268 290001.601  6.30%  41.4  440s
 10000  9468 290001.601  152   36 309503.268 290001.601  6.30%  41.3  445s
 10115  9583 290001.601  137   24 309503.268 290001.601  6.30%  41.2  450s
 10208  9673 290001.602  140   29 309503.268 290001.602  6.30%  41.1  456s
 10213  9677 290001.602  129   16 309503.268 290001.602  6.30%  41.1  460s
 10220  9681 290001.602   48   15 309503.268 290001.602  6.30%  41.1  465s
 10257  9708 290001.602   40   15 309503.268 290001.602  6.30%  43.3  470s
 10354  9773 290001.602   52   17 309503.268 290001.602  6.30%  43.1  475s
 10438  9829 290001.602   55   15 309503.268 290001.602  6.30%  42.9  480s
 10521  9884 290001.602   51   15 309503.268 290001.602  6.30%  42.8  485s
 10575  9920 290001.602   67   13 309503.268 290001.602  6.30%  42.7  490s
 10667  9981 290001.602   84   13 309503.268 290001.602  6.30%  42.5  495s
 10744 10033 290001.602   85   13 309503.268 290001.602  6.30%  42.4  500s
 10825 10087 290001.602   73   13 309503.268 290001.602  6.30%  42.3  505s
 10922 10151 290001.602   99   13 309503.268 290001.602  6.30%  42.2  510s
 11041 10231 290001.602   94   11 309503.268 290001.602  6.30%  41.9  515s
 11142 10298 290001.602   87   13 309503.268 290001.602  6.30%  41.7  520s
 11278 10389 290001.602   84   13 309503.268 290001.602  6.30%  41.5  525s
 11421 10484 290001.602   83   15 309503.268 290001.602  6.30%  41.4  530s
 11519 10549 290001.602   92   11 309503.268 290001.602  6.30%  41.3  535s
 11665 10647 290001.602  102   13 309503.268 290001.602  6.30%  41.0  540s
 11791 10731 290001.602  108   11 309503.268 290001.602  6.30%  40.7  545s
 11911 10811 290001.602  111   17 309503.268 290001.602  6.30%  40.4  550s
 12049 10903 290001.602  111   11 309503.268 290001.602  6.30%  40.1  555s
 12193 10999 290001.602  109   11 309503.268 290001.602  6.30%  39.7  560s
 12299 11069 290001.602  128   11 309503.268 290001.602  6.30%  39.5  565s
 12446 11167 290001.602  146   11 309503.268 290001.602  6.30%  39.2  570s
 12549 11236 290001.602  159   13 309503.268 290001.602  6.30%  39.0  575s
 12708 11342 290001.602  111   13 309503.268 290001.602  6.30%  38.7  580s
 12849 11436 290001.602  115   13 309503.268 290001.602  6.30%  38.4  585s
 12952 11505 290001.602  128   11 309503.268 290001.602  6.30%  38.2  590s
 12971 11517 290001.602  129   11 309503.268 290001.602  6.30%  38.2  595s
 12984 11526 290001.602  131   11 309503.268 290001.602  6.30%  38.2  600s
 13086 11594 290001.602  139   15 309503.268 290001.602  6.30%  38.1  605s
 13167 11648 290001.602  130   15 309503.268 290001.602  6.30%  38.1  610s
 13302 11738 290001.602  133   31 309503.268 290001.602  6.30%  37.9  615s
 13437 11828 290001.602  143   13 309503.268 290001.602  6.30%  37.6  620s
 13547 11901 290001.602  139   29 309503.268 290001.602  6.30%  37.4  625s
 13658 11973 290001.602  141   35 309503.268 290001.602  6.30%  37.3  630s
 13794 12062 290001.602  148   31 309503.268 290001.602  6.30%  37.1  635s
 13923 12148 290001.602  139   35 309503.268 290001.602  6.30%  36.9  640s
 14015 12209 290001.602  148   11 309503.268 290001.602  6.30%  36.8  645s
 14166 12308 290001.602  159   19 309503.268 290001.602  6.30%  36.6  650s
 14328 12406 290001.602  155   11 309503.268 290001.602  6.30%  36.4  655s
 14409 12456 290001.602  143   11 309503.268 290001.602  6.30%  36.3  660s
 14564 12557 290001.602  140   11 309503.268 290001.602  6.30%  36.0  665s
 14708 12653 290001.602  166   35 309503.268 290001.602  6.30%  35.8  670s
 14861 12755 290001.602  101   11 309503.268 290001.602  6.30%  35.7  675s
 14912 12789 290001.602  105   11 309503.268 290001.602  6.30%  35.6  680s
 15026 12865 290001.602  117   11 309503.268 290001.602  6.30%  35.5  685s
 15169 12961 290001.602  133   11 309503.268 290001.602  6.30%  35.2  690s
 15305 13051 290001.602  144   11 309503.268 290001.602  6.30%  35.1  695s
 15457 13153 290001.602  138   11 309503.268 290001.602  6.30%  34.8  700s
 15592 13241 290001.602  151   29 309503.268 290001.602  6.30%  34.7  705s
 15734 13327 290001.602  160    9 309503.268 290001.602  6.30%  34.5  710s
 15881 13417 290001.602  155    9 309503.268 290001.602  6.30%  34.3  715s
 16003 13495 290001.602  132   17 309503.268 290001.602  6.30%  34.2  720s
 16113 13556 290001.602  137   31 309503.268 290001.602  6.30%  34.0  725s
 16272 13660 290001.602  136   11 309503.268 290001.602  6.30%  33.8  730s
 16434 13768 290001.602  151    9 309503.268 290001.602  6.30%  33.6  735s
 16539 13838 290001.602  153   31 309503.268 290001.602  6.30%  33.5  740s
 16689 13938 290001.602  156   29 309503.268 290001.602  6.30%  33.3  745s
 16836 14034 290001.602  148   17 309503.268 290001.602  6.30%  33.2  750s
 16979 14129 290001.602  162   45 309503.268 290001.602  6.30%  33.0  755s
 17075 14193 290001.602  139   11 309503.268 290001.602  6.30%  32.9  760s
 17210 14283 290001.602  143   15 309503.268 290001.602  6.30%  32.8  765s
 17353 14379 290001.602  154   13 309503.268 290001.602  6.30%  32.6  770s
 17434 14433 290001.602  157   11 309503.268 290001.602  6.30%  32.5  775s
 17584 14527 290001.602  149   35 309503.268 290001.602  6.30%  32.4  780s
 17716 14607 290001.602  152   11 309503.268 290001.602  6.30%  32.2  785s
 17807 14663 290001.602  130   31 309503.268 290001.602  6.30%  32.1  790s
 17927 14743 290001.602  134   11 309503.268 290001.602  6.30%  32.0  795s
 18063 14834 290001.602  125    9 309503.268 290001.602  6.30%  32.0  800s
 18190 14919 290001.602  131   15 309503.268 290001.602  6.30%  31.9  805s
 18272 14973 290001.602  139   11 309503.268 290001.602  6.30%  31.8  810s
 18406 15063 290001.602  152   11 309503.268 290001.602  6.30%  31.6  815s
 18545 15155 290001.602  146   31 309503.268 290001.602  6.30%  31.5  820s
 18622 15207 290001.602  154    9 309503.268 290001.602  6.30%  31.4  825s
 18749 15291 290001.602  151   35 309503.268 290001.602  6.30%  31.3  830s
 18892 15387 290001.602  110   13 309503.268 290001.602  6.30%  31.2  835s
 19000 15459 290001.602  109   13 309503.268 290001.602  6.30%  31.1  840s
 19135 15549 290001.602   87   16 309503.268 290001.602  6.30%  31.0  845s
