
Gurobi 12.0.3 (win64) logging started Tue Sep  8 00:41:20 2026

Set parameter LogFile to value "C:\Users\TECNO-MASTER\Desktop\Elmo_infrastructure_sizing_NP-\output\DCH_septiembre\Bateria_353\Costo_variable\Swap_restringido\Swap_variable_3estaciones_320kW_Descomp\station_2_d32_stage1\ELMO_log.txt"
Set parameter Threads to value 1
Set parameter Heuristics to value 0.5
Set parameter MIPFocus to value 3
Set parameter Presolve to value 2
Set parameter FlowCoverCuts to value 2
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900K, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  1200
MIPGap  0.05
Heuristics  0.5
MIPFocus  3
FlowCoverCuts  2
Presolve  2
Threads  1

Optimize a model with 26902 rows, 54733 columns and 249037 nonzeros
Model fingerprint: 0x05979cf1
Variable types: 2129 continuous, 52604 integer (19481 binary)
Coefficient statistics:
  Matrix range     [1e+00, 3e+02]
  Objective range  [3e-03, 8e+04]
  Bounds range     [1e+00, 1e+01]
  RHS range        [1e+00, 1e+04]
Presolve removed 25538 rows and 45427 columns
Presolve time: 0.17s
Presolved: 1364 rows, 9306 columns, 29293 nonzeros
Variable types: 216 continuous, 9090 integer (8776 binary)
Found heuristic solution: objective 616614.88775
Root relaxation presolved: 1364 rows, 9306 columns, 29293 nonzeros


Use crossover to convert LP symmetric solution to basic solution...

Root relaxation: objective 2.010149e+05, 4215 iterations, 0.06 seconds (0.07 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  4580  3921 201754.647  105   18 284591.712 201754.647  29.1%  68.4  330s
  4672  4011 201754.647   52   45 284591.712 201754.647  29.1%  68.7  335s
  4735  4074 201754.647   84   41 284591.712 201754.647  29.1%  70.8  340s
  4829  4168 201754.647  122   22 284591.712 201754.647  29.1%  70.4  345s
  4959  4288 201754.647   91   19 284591.712 201754.647  29.1%  69.2  350s
  5039  4368 201754.647  100   11 284591.712 201754.647  29.1%  68.3  355s
  5172  4501 201754.647  106   15 284591.712 201754.647  29.1%  67.1  360s
  5316  4645 201754.647  123   11 284591.712 201754.647  29.1%  66.0  365s
  5447  4776 201754.647  135   11 284591.712 201754.647  29.1%  64.8  370s
  5505  4833 201754.647  145   11 284591.712 201754.647  29.1%  64.5  375s
  5650  4978 201754.647  158   11 284591.712 201754.647  29.1%  63.2  380s
  5777  5105 201754.647  170   11 284591.712 201754.647  29.1%  62.3  385s
  5917  5243 201754.647  192   19 284591.712 201754.647  29.1%  61.2  390s
  6040  5363 201754.647  164   11 284591.712 201754.647  29.1%  60.5  395s
  6106  5427 201754.647  155   11 284591.712 201754.647  29.1%  60.1  400s
  6242  5563 201754.647  160   11 284591.712 201754.647  29.1%  59.2  405s
  6379  5699 201754.647  153   11 284591.712 201754.647  29.1%  58.3  410s
  6516  5832 201754.647  156   19 284591.712 201754.647  29.1%  57.7  415s
  6670  5982 201754.647  142   11 284591.712 201754.647  29.1%  57.0  420s
  6757  6068 201754.647  151   11 284591.712 201754.647  29.1%  56.5  425s
  6898  6208 201754.647  150   13 284591.712 201754.647  29.1%  55.7  430s
  7034  6337 201754.647  147   11 284591.712 201754.647  29.1%  55.2  435s
  7176  6469 201754.647  146   11 284591.712 201754.647  29.1%  54.9  440s
  7256  6548 201754.647  153   11 284591.712 201754.647  29.1%  54.6  445s
  7401  6686 201754.647  159   11 284591.712 201754.647  29.1%  54.3  450s
  7547  6818 201754.647  119   19 284591.712 201754.647  29.1%  54.4  455s
  7675  6946 201754.647  131   11 284591.712 201754.647  29.1%  53.8  460s
