
Gurobi 12.0.3 (win64) logging started Sun Aug 23 23:23:50 2026

Set parameter LogFile to value "C:\Users\TECNO-MASTER\Desktop\Elmo_infrastructure_sizing_NP-\output\DCH_agosto\Costo_variable\Swap_restringido\Swap_variable_3estaciones_320kW_Descomp\station_3_d32_stage1\ELMO_log.txt"
Set parameter Threads to value 1
Set parameter Heuristics to value 0.5
Set parameter MIPFocus to value 3
Set parameter Presolve to value 2
Set parameter FlowCoverCuts to value 2
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900K, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  1200
MIPGap  0.05
Heuristics  0.5
MIPFocus  3
FlowCoverCuts  2
Presolve  2
Threads  1

Optimize a model with 26872 rows, 53707 columns and 243987 nonzeros
Model fingerprint: 0x5a28b8a1
Variable types: 2099 continuous, 51608 integer (18485 binary)
Coefficient statistics:
  Matrix range     [1e+00, 3e+02]
  Objective range  [3e-03, 8e+04]
  Bounds range     [1e+00, 1e+01]
  RHS range        [1e+00, 1e+04]
Presolve removed 25514 rows and 44922 columns
Presolve time: 0.15s
Presolved: 1358 rows, 8785 columns, 27985 nonzeros
Variable types: 216 continuous, 8569 integer (8164 binary)
Root relaxation presolved: 1358 rows, 8785 columns, 27985 nonzeros


Use crossover to convert LP symmetric solution to basic solution...

Root relaxation: objective 2.283885e+05, 3820 iterations, 0.06 seconds (0.06 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 18227 17692 230515.144  120   68 311101.469 228959.441  26.4%  48.1  630s
 18422 17887 228959.441  127   18 311101.469 228959.441  26.4%  47.9  635s
 18516 17981 231269.096  117   68 311101.469 228959.441  26.4%  47.8  640s
 18708 18173 231811.502  115   68 311101.469 228959.441  26.4%  47.9  645s
 18894 18359 228959.441  116    7 311101.469 228959.441  26.4%  47.7  650s
 19098 18563 228959.441  116    9 311101.469 228959.441  26.4%  47.6  655s
 19299 18764 228959.441  106    7 311101.469 228959.441  26.4%  47.3  660s
 19491 18956 228959.441  116    7 311101.469 228959.441  26.4%  47.3  665s
 19687 19152 228959.441  110    7 311101.469 228959.441  26.4%  47.2  670s
 19884 19349 228959.441  113    7 311101.469 228959.441  26.4%  47.2  675s
 20042 19507 231237.186  118   68 311101.469 228959.441  26.4%  47.0  680s
 20244 19709 229053.390  115   68 311101.469 228959.441  26.4%  47.1  685s
 20445 19910 228959.441   99    7 311101.469 228959.441  26.4%  47.0  690s
 20595 20060 228959.441  109    7 311101.469 228959.441  26.4%  46.9  695s
 20797 20262 228959.441  121    7 311101.469 228959.441  26.4%  47.1  700s
 20992 20457 228959.441  103    7 311101.469 228959.441  26.4%  48.0  705s
 21104 20569 228959.441  104    7 311101.469 228959.441  26.4%  47.9  710s
 21283 20748 228959.441  108    7 311101.469 228959.441  26.4%  47.7  715s
 21484 20949 230999.831  116   68 311101.469 228959.441  26.4%  47.7  720s
 21688 21153 228959.441  116    7 311101.469 228959.441  26.4%  47.7  725s
 21891 21356 231994.311  114   68 311101.469 228959.441  26.4%  47.9  730s
 22110 21575 228959.441  117    7 311101.469 228959.441  26.4%  47.5  735s
 22317 21782 228959.441  105    7 311101.469 228959.441  26.4%  47.3  740s
 22516 21981 228959.441  123    7 311101.469 228959.441  26.4%  47.1  745s
 22735 22200 228959.441  121    9 311101.469 228959.441  26.4%  46.9  750s
 22956 22421 229994.352  110   68 311101.469 228959.441  26.4%  46.7  755s
 23178 22643 228959.441  116    7 311101.469 228959.441  26.4%  46.5  760s
 23403 22868 229715.383  110   68 311101.469 228959.441  26.4%  46.3  765s
 23534 22999 228959.441  122    9 311101.469 228959.441  26.4%  46.1  770s
 23732 23197 228959.441  109    7 311101.469 228959.441  26.4%  47.0  775s
 23943 23408 228959.441  116    7 311101.469 228959.441  26.4%  47.1  780s
 24168 23633 228959.441  116    7 311101.469 228959.441  26.4%  46.8  785s
 24375 23840 228959.441  124    5 311101.469 228959.441  26.4%  46.5  790s
 24591 24056 228959.441  108   16 311101.469 228959.441  26.4%  46.4  795s
 24777 24242 231419.633  125   68 311101.469 228959.441  26.4%  46.5  800s
 24944 24409 228959.441  111    7 311101.469 228959.441  26.4%  46.5  805s
 25164 24629 228959.441  122   22 311101.469 228959.441  26.4%  46.2  810s
 25378 24843 228959.441  112    7 311101.469 228959.441  26.4%  46.3  815s
 25603 25068 228959.441  102   23 311101.469 228959.441  26.4%  45.9  820s
 25785 25250 228959.441  125    5 311101.469 228959.441  26.4%  45.9  826s
 25940 25405 229002.845  114   70 311101.469 228959.441  26.4%  46.2  830s
 26151 25615 229424.658  102   68 311101.469 228959.441  26.4%  46.3  835s
 26373 25837 228959.441  121    7 311101.469 228959.441  26.4%  46.2  840s
 26590 26054 231250.573  118   68 311101.469 228959.441  26.4%  46.3  845s
 26805 26269 229087.738  111   68 311101.469 228959.441  26.4%  46.5  850s
 26936 26400 228959.441  112    7 311101.469 228959.441  26.4%  46.4  855s
 27144 26608 228959.441  112    7 311101.469 228959.441  26.4%  46.2  860s
 27352 26816 228959.441  123    5 311101.469 228959.441  26.4%  46.2  865s
 27561 27025 228959.441  114    7 311101.469 228959.441  26.4%  46.3  870s
 27755 27219 228959.441  123   19 311101.469 228959.441  26.4%  46.2  875s
 27968 27432 228959.441  102    7 311101.469 228959.441  26.4%  46.1  880s
 28128 27592 228959.441  117    9 311101.469 228959.441  26.4%  46.1  885s
 28344 27808 228959.441  124    7 311101.469 228959.441  26.4%  45.9  890s
 28543 28007 228959.441  107    7 311101.469 228959.441  26.4%  46.1  895s
 28749 28213 231229.431  119   68 311101.469 228959.441  26.4%  46.0  900s
 28880 28344 228959.441  113    7 311101.469 228959.441  26.4%  46.2  905s
 29095 28559 228959.441  109    7 311101.469 228959.441  26.4%  46.1  910s
 29296 28760 228959.441  111    7 311101.469 228959.441  26.4%  46.1  915s
 29507 28971 231134.094  122   68 311101.469 228959.441  26.4%  46.0  920s
 29715 29179 228959.441  111   33 311101.469 228959.441  26.4%  46.1  925s
 29876 29340 230719.388  105   68 311101.469 228959.441  26.4%  46.0  930s
 30091 29555 228959.441  110    7 311101.469 228959.441  26.4%  45.9  935s
 30315 29779 231498.170  120   68 311101.469 228959.441  26.4%  45.9  940s
 30478 29942 228959.441  119    7 311101.469 228959.441  26.4%  45.8  946s
 30623 30087 229351.969  115   70 311101.469 228959.441  26.4%  45.6  950s
 30828 30292 228959.441  120    9 311101.469 228959.441  26.4%  45.6  955s
 31033 30497 228959.441  111    7 311101.469 228959.441  26.4%  45.8  960s
 31259 30723 228959.441  122    7 311101.469 228959.441  26.4%  45.6  965s
 31480 30944 228959.441  112    7 311101.469 228959.441  26.4%  45.4  970s
 31710 31174 230970.290  125   68 311101.469 228959.441  26.4%  45.2  975s
 31941 31405 228959.441  117    7 311101.469 228959.441  26.4%  45.0  980s
 32153 31617 228959.441  115    7 311101.469 228959.441  26.4%  45.1  985s
 32298 31762 228959.441  126   20 311101.469 228959.441  26.4%  45.0  990s
 32503 31967 228959.441  117    7 311101.469 228959.441  26.4%  44.9  995s
 32724 32188 228959.441  116    7 311101.469 228959.441  26.4%  44.9 1000s
 32936 32400 228959.441  109    9 311101.469 228959.441  26.4%  44.8 1005s
 33143 32607 228959.441  115    7 311101.469 228959.441  26.4%  44.7 1010s
 33364 32828 228959.441  106    7 311101.469 228959.441  26.4%  44.5 1015s
 33587 33051 228959.441  111    7 311101.469 228959.441  26.4%  44.5 1020s
 33809 33273 228959.441  108    7 311101.469 228959.441  26.4%  44.3 1025s
 33972 33436 228959.441   86   18 311101.469 228959.441  26.4%  44.2 1030s
 34206 33670 228959.441  116   30 311101.469 228959.441  26.4%  44.1 1035s
 34445 33909 228959.441  112    7 311101.469 228959.441  26.4%  44.0 1040s
 34668 34132 228977.449  123   68 311101.469 228959.441  26.4%  44.1 1045s
 34889 34353 228959.441  125    7 311101.469 228959.441  26.4%  44.0 1050s
 35037 34501 228959.441  113    9 311101.469 228959.441  26.4%  43.9 1055s
