n,estacion,lhd,d,t,Bmax,B_t-1,B_t,E_pre,E_post,Delta_intervalo,asignado_punto_extraccion,punto_extraccion
27,station_2,LH518B_8,60,108,353.0,108.64604993142677,353.0,244.35395006857323,0,244.35395006857323,0,
28,station_3,LH518B_9,60,110,353.0,112.88065245899938,353.0,240.11934754100062,0,240.11934754100062,0,
29,station_1,LH518B_3,60,116,353.0,151.31272664524406,353.0,201.68727335475594,0,201.68727335475594,0,
30,station_3,LH518B_11,60,117,353.0,70.71618623194638,339.3267056889002,282.2838137680536,13.673294311099824,268.6105194569538,1,N2716
31,station_2,LH518B_5,60,120,353.0,71.01890267064044,341.1966936199387,281.98109732935956,11.803306380061315,270.17779094929824,1,C0280
32,station_1,LH518B_4,60,122,353.0,186.74850608087658,339.1151013022715,166.25149391912342,13.884898697728488,152.36659522139493,1,C0447
33,station_2,LH518B_7,60,126,353.0,122.8648063310637,340.29286743962774,230.1351936689363,12.707132560372258,217.42806110856404,1,C0161
34,station_3,LH518B_11,60,126,353.0,232.2404076725169,339.64385459546435,120.75959232748309,13.356145404535653,107.40344692294744,1,N2674
35,station_2,LH518B_6,60,131,353.0,101.64914535890233,353.0,251.35085464109767,0,251.35085464109767,0,
36,station_1,LH518B_2,60,135,353.0,107.94784062573126,353.0,245.05215937426874,0,245.05215937426874,0,
37,station_3,LH518B_10,60,136,353.0,97.91778454187924,339.40470527706157,255.08221545812074,13.595294722938434,241.4869207351823,1,N2792
38,station_3,LH518B_12,60,144,353.0,96.63298534368467,353.0,256.36701465631535,0,256.36701465631535,0,
39,station_1,LH518B_1,60,152,353.0,118.62177425627695,353.0,234.37822574372305,0,234.37822574372305,0,
40,station_3,LH518B_9,60,154,353.0,101.66991300152588,353.0,251.33008699847412,0,251.33008699847412,0,
41,station_2,LH518B_8,60,155,353.0,95.3034627037262,340.13208943022937,257.6965372962738,12.867910569770629,244.82862672650316,1,C0086
42,station_1,LH518B_3,60,157,353.0,78.85019829704628,338.954323292863,274.1498017029537,14.045676707136977,260.10412499581673,1,C0506
43,station_2,LH518B_5,60,161,353.0,71.24564225146301,339.62642839481447,281.754357748537,13.373571605185532,268.3807861433515,1,C0269
44,station_1,LH518B_4,60,163,353.0,73.67955530837432,341.883218713659,279.32044469162565,11.116781286340995,268.20366340528466,1,C0411
45,station_3,LH518B_10,60,163,353.0,143.11546207006063,339.9136880985291,209.88453792993937,13.086311901470879,196.7982260284685,1,N2752
46,station_2,LH518B_7,60,172,353.0,75.16302684216849,353.0,277.8369731578315,0,277.8369731578315,0,
47,station_2,LH518B_6,60,178,353.0,123.3097231034647,353.0,229.6902768965353,0,229.6902768965353,0,
48,station_1,LH518B_2,60,180,353.0,119.1442289447898,353.0,233.8557710552102,0,233.8557710552102,0,
49,station_3,LH518B_11,60,180,353.0,70.88677911449659,353.0,282.11322088550344,0,282.11322088550344,0,
