
Gurobi 12.0.3 (win64) logging started Mon Sep  7 22:44:16 2026

Set parameter LogFile to value "C:\Users\TECNO-MASTER\Desktop\Elmo_infrastructure_sizing_NP-\output\DCH_septiembre\Bateria_353\Costo_fijo\Swap_restringido\Swap_fixed_3estaciones_640kW_Descomp\station_1_d182_stage1\ELMO_log.txt"
Set parameter Threads to value 1
Set parameter Heuristics to value 0.5
Set parameter MIPFocus to value 3
Set parameter Presolve to value 2
Set parameter FlowCoverCuts to value 2
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900K, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  1200
MIPGap  0.05
Heuristics  0.5
MIPFocus  3
FlowCoverCuts  2
Presolve  2
Threads  1

Optimize a model with 26902 rows, 53707 columns and 243347 nonzeros
Model fingerprint: 0xfcc31229
Variable types: 2099 continuous, 51608 integer (18485 binary)
Coefficient statistics:
  Matrix range     [1e+00, 6e+02]
  Objective range  [4e-01, 8e+04]
  Bounds range     [1e+00, 1e+01]
  RHS range        [1e+00, 1e+04]
Presolve removed 25331 rows and 44775 columns
Presolve time: 0.17s
Presolved: 1571 rows, 8932 columns, 27513 nonzeros
Variable types: 216 continuous, 8716 integer (8260 binary)
Root relaxation presolved: 1571 rows, 8932 columns, 27513 nonzeros


Use crossover to convert LP symmetric solution to basic solution...

Root relaxation: objective 2.350968e+05, 4133 iterations, 0.06 seconds (0.06 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  7663  7107 235163.444  104   50 313520.768 235163.444  25.0%   111  370s
  7717  7161 235163.444   98   41 313520.768 235163.444  25.0%   113  375s
  7829  7273 235163.444  104   51 313520.768 235163.444  25.0%   117  380s
  7923  7367 235163.444   90   46 313520.768 235163.444  25.0%   119  385s
  8031  7475 235163.444  102   43 313520.768 235163.444  25.0%   123  390s
  8142  7586 235163.444   87   49 313520.768 235163.444  25.0%   126  395s
  8178  7622 235163.444   99   44 313520.768 235163.444  25.0%   127  400s
  8287  7731 235163.444   95   37 313520.768 235163.444  25.0%   130  405s
  8397  7841 235163.444   75   39 313520.768 235163.444  25.0%   133  410s
  8505  7949 235163.444   81   44 313520.768 235163.444  25.0%   136  415s
  8613  8057 235163.444   95   49 313520.768 235163.444  25.0%   139  420s
  8684  8128 235163.444   74   43 313520.768 235163.444  25.0%   140  425s
  8794  8238 235163.444   97   40 313520.768 235163.444  25.0%   143  430s
  8844  8288 235163.444  104   44 313520.768 235163.444  25.0%   144  435s
  8953  8397 235163.444  102   41 313520.768 235163.444  25.0%   147  440s
  9062  8506 235163.444  128   37 313520.768 235163.444  25.0%   149  445s
  9180  8624 235163.444   91   45 313520.768 235163.444  25.0%   152  450s
  9269  8713 235163.444   80   53 313520.768 235163.444  25.0%   154  455s
  9364  8808 235163.444   74   51 313520.768 235163.444  25.0%   156  461s
  9442  8886 235163.444   32   34 313520.768 235163.444  25.0%   157  465s
  9521  8965 235163.444   47   31 313520.768 235163.444  25.0%   158  470s
  9604  9048 235163.444   40   38 313520.768 235163.444  25.0%   159  477s
  9652  9096 235163.444   97   46 313520.768 235163.444  25.0%   160  480s
  9762  9206 235163.444   55   28 313520.768 235163.444  25.0%   161  485s
  9863  9307 235163.444   94   54 313520.768 235163.444  25.0%   163  490s
  9969  9413 235163.444   85   43 313520.768 235163.444  25.0%   165  495s
 10065  9509 235163.444   40   30 313520.768 235163.444  25.0%   167  500s
 10144  9588 235163.444   41   16 313520.768 235163.444  25.0%   167  505s
 10251  9695 235163.444   49   25 313520.768 235163.444  25.0%   166  510s
 10340  9784 235163.444   61   22 313520.768 235163.444  25.0%   166  516s
 10423  9867 235163.444   57   61 313520.768 235163.444  25.0%   165  520s
 10534  9978 235163.444   54   16 313520.768 235163.444  25.0%   165  525s
 10639 10083 235163.444   67   14 313520.768 235163.444  25.0%   165  530s
 10746 10190 235163.444   65   24 313520.768 235163.444  25.0%   164  535s
 10790 10234 235163.444   75   14 313520.768 235163.444  25.0%   164  540s
 10905 10349 235163.444   70   12 313520.768 235163.444  25.0%   164  545s
 11079 10523 235163.444  100   14 313520.768 235163.444  25.0%   162  550s
 11263 10707 235163.444  101   16 313520.768 235163.444  25.0%   159  555s
 11447 10891 235163.444  112   24 313520.768 235163.444  25.0%   157  560s
 11625 11069 235163.444  111   24 313520.768 235163.444  25.0%   155  565s
 11789 11233 235163.444  112   14 313520.768 235163.444  25.0%   153  570s
 11957 11401 235163.444  100   16 313520.768 235163.444  25.0%   151  575s
 12152 11596 235163.444   97   14 313520.768 235163.444  25.0%   149  580s
 12330 11774 235163.444   98   14 313520.768 235163.444  25.0%   147  587s
 12410 11854 235163.444  106   14 313520.768 235163.444  25.0%   146  590s
 12576 12020 235163.444  103   18 313520.768 235163.444  25.0%   144  595s
 12761 12205 235163.444  102   14 313520.768 235163.444  25.0%   143  600s
