
Gurobi 10.0.0 (win64) logging started Wed Jul 29 21:41:54 2026

Set parameter LogFile to value "output\Taller_DET_Agosto\Swap_maxproduction_27ktpd\station_1_d244_stage1\ELMO_log.txt"
Set parameter Threads to value 1
Set parameter Heuristics to value 0.5
Set parameter MIPFocus to value 3
Set parameter Presolve to value 2
Set parameter FlowCoverCuts to value 2
Gurobi Optimizer version 10.0.0 build v10.0.0rc2 (win64)

CPU model: 11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 4 physical cores, 8 logical processors, using up to 1 threads

Optimize a model with 33882 rows, 80359 columns and 367272 nonzeros
Model fingerprint: 0x99088d6b
Variable types: 4395 continuous, 75964 integer (42841 binary)
Coefficient statistics:
  Matrix range     [1e+00, 4e+02]
  Objective range  [4e-01, 8e+04]
  Bounds range     [1e+00, 1e+01]
  RHS range        [1e+00, 3e+04]
Presolve removed 31413 rows and 58687 columns
Presolve time: 2.49s
Presolved: 2469 rows, 21672 columns, 70662 nonzeros
Variable types: 413 continuous, 21259 integer (20741 binary)
Root relaxation presolve removed 1 rows and 0 columns
Root relaxation presolved: 2468 rows, 21673 columns, 70661 nonzeros


Use crossover to convert LP symmetric solution to basic solution...

Root relaxation: objective 4.679076e+05, 8710 iterations, 0.84 seconds (0.17 work units)
Total elapsed time = 5.83s

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  2973  2422 546387.031  169   23 632845.563 546387.031  13.7%   164 3225s
  2988  2437 546387.031  173   25 632845.563 546387.031  13.7%   164 3230s
  3001  2450 546387.031  165   29 632845.563 546387.031  13.7%   164 3235s
  3013  2462 546387.031  169   35 632845.563 546387.031  13.7%   164 3240s
  3027  2476 546387.031  172   23 632845.563 546387.031  13.7%   163 3245s
  3040  2489 546387.031  174   36 632845.563 546387.031  13.7%   163 3250s
  3056  2505 546387.031  175   45 632845.563 546387.031  13.7%   164 3255s
  3066  2515 546387.031  178   22 632845.563 546387.031  13.7%   164 3268s
  3068  2517 546387.031  178   23 632845.563 546387.031  13.7%   165 3270s
  3080  2529 546387.031  165   25 632845.563 546387.031  13.7%   166 3275s
  3094  2543 546387.031  169   29 632845.563 546387.031  13.7%   166 3280s
  3107  2556 546387.031  169   25 632845.563 546387.031  13.7%   165 3285s
  3122  2571 546387.031  172   23 632845.563 546387.031  13.7%   165 3290s
  3137  2586 546387.031  174   23 632845.563 546387.031  13.7%   165 3295s
  3151  2600 546387.031  176   38 632845.563 546387.031  13.7%   164 3300s
  3165  2614 546387.031  177   36 632845.563 546387.031  13.7%   164 3305s
  3167  2616 546387.031  176   23 632845.563 546387.031  13.7%   164 3312s
  3176  2625 546387.031  177   25 632845.563 546387.031  13.7%   164 3315s
  3190  2639 546387.031  177   23 632845.563 546387.031  13.7%   164 3320s
  3202  2651 546387.031  180   45 632845.563 546387.031  13.7%   165 3325s
  3214  2663 546387.031  176   25 632845.563 546387.031  13.7%   166 3330s
  3230  2679 546387.031  174   23 632845.563 546387.031  13.7%   165 3335s
  3244  2693 546387.031  177   25 632845.563 546387.031  13.7%   165 3340s
  3259  2708 546387.031  178   29 632845.563 546387.031  13.7%   165 3345s
  3268  2717 546387.031  177   25 632845.563 546387.031  13.7%   165 3358s
  3274  2723 546387.031  173   23 632845.563 546387.031  13.7%   165 3360s
  3287  2736 546387.031  176   36 632845.563 546387.031  13.7%   165 3365s
  3301  2750 546387.031  177   23 632845.563 546387.031  13.7%   165 3370s
  3316  2765 546387.031  179   36 632845.563 546387.031  13.7%   164 3375s
  3330  2779 546387.031  181   23 632845.563 546387.031  13.7%   164 3380s
  3343  2792 546387.031  183   27 632845.563 546387.031  13.7%   164 3385s
  3357  2806 546387.031  180   30 632845.563 546387.031  13.7%   165 3390s
  3369  2818 546387.031  177   23 632845.563 546387.031  13.7%   166 3398s
  3372  2821 546387.031  179   42 632845.563 546387.031  13.7%   166 3400s
  3386  2835 546387.031  179   23 632845.563 546387.031  13.7%   166 3405s
  3396  2845 546387.031  181   25 632845.563 546387.031  13.7%   166 3420s
  3410  2859 546387.031  178   25 632845.563 546387.031  13.7%   166 3425s
  3424  2873 546387.031  180   27 632845.563 546387.031  13.7%   166 3430s
  3436  2885 546387.031  181   23 632845.563 546387.031  13.7%   166 3435s
  3449  2898 546387.031  179   23 632845.563 546387.031  13.7%   167 3440s
