var,index,value,fractionality
Z,"('LH518B_6', 1, 64.0)",0.5987654320987652,0.4012345679012348
Z,"('LH518B_7', 1, 129.0)",0.5987654320987652,0.4012345679012348
Z,"('LH518B_9', 1, 126.0)",0.5987654320987652,0.4012345679012348
Y,"('LH518B_6', 'C0197', 1, 7.0)",0.6000745649942822,0.39992543500571776
Y,"('LH518B_6', 'C0199', 1, 7.0)",0.39992543500571776,0.39992543500571776
Z,"('LH518B_4', 1, 163.0)",0.39932331091451967,0.39932331091451967
Y,"('LH518B_1', 'C0584', 1, 105.0)",0.6043548979634145,0.39564510203658554
Z,"('LH518B_2', 1, 141.0)",0.394567374778781,0.394567374778781
Y,"('LH518B_7', 'C0130', 1, 67.0)",0.39371696081200325,0.39371696081200325
N_batteries,station_1,0.39347530768520006,0.39347530768520006
N_batteries,station_2,0.39347530768520006,0.39347530768520006
Y,"('LH518B_2', 'C0560', 1, 7.0)",0.38925521887460646,0.38925521887460646
Y,"('LH518B_2', 'C0565', 1, 7.0)",0.6107447811253935,0.38925521887460646
Y,"('LH518B_3', 'C0507', 1, 159.0)",0.6109969719446294,0.38900302805537057
Z,"('LH518B_12', 1, 146.0)",0.620192755772051,0.379807244227949
Z,"('LH518B_9', 1, 121.0)",0.3768052910441648,0.3768052910441648
N_batteries,station_3,0.3743251254841088,0.3743251254841088
Z,"('LH518B_7', 1, 71.0)",0.3735014901420747,0.3735014901420747
Y,"('LH518B_2', 'C0556', 1, 74.0)",0.37233250753273134,0.37233250753273134
Z,"('LH518B_2', 1, 74.0)",0.6276674924672687,0.3723325075327313
Y,"('LH518B_8', 'C0048', 1, 145.0)",0.628649998919764,0.37135000108023597
Z,"('LH518B_8', 1, 145.0)",0.37135000108023597,0.37135000108023597
Y,"('LH518B_3', 'C0477', 1, 4.0)",0.3712103836840829,0.3712103836840829
Z,"('LH518B_3', 1, 4.0)",0.6287896163159171,0.3712103836840829
Y,"('LH518B_5', 'C0275', 1, 63.0)",0.6289185513914978,0.37108144860850223
Y,"('LH518B_8', 'C0093', 1, 25.0)",0.37106530305777996,0.37106530305777996
Y,"('LH518B_8', 'C0092', 1, 75.0)",0.37102560317486993,0.37102560317486993
Y,"('LH518B_8', 'C0056', 1, 46.0)",0.3710255922083867,0.3710255922083867
Z,"('LH518B_8', 1, 46.0)",0.6289744077916133,0.3710255922083867
Z,"('LH518B_8', 1, 98.0)",0.6289744251751712,0.3710255748248288
Y,"('LH518B_8', 'C0044', 1, 98.0)",0.37102557482482873,0.37102557482482873
Y,"('LH518B_6', 'C0198', 1, 151.0)",0.628974425869991,0.37102557413000903
Y,"('LH518B_6', 'C0234', 1, 151.0)",0.371025574130009,0.371025574130009
Y,"('LH518B_6', 'C0240', 1, 160.0)",0.6289744439483688,0.37102555605163123
Y,"('LH518B_6', 'C0243', 1, 159.0)",0.62897444961843,0.37102555038157004
Y,"('LH518B_6', 'C0236', 1, 152.0)",0.6289744599579138,0.3710255400420862
Y,"('LH518B_8', 'C0055', 1, 163.0)",0.37102548459178775,0.37102548459178775
Y,"('LH518B_7', 'C0126', 1, 94.0)",0.6289780411546758,0.3710219588453242
Y,"('LH518B_8', 'C0091', 1, 72.0)",0.6289793141155379,0.37102068588446213
Y,"('LH518B_8', 'C0045', 1, 37.0)",0.37100454114415077,0.37100454114415077
Z,"('LH518B_8', 1, 37.0)",0.6289954588558493,0.3710045411441507
Z,"('LH518B_6', 1, 73.0)",0.6289966034451921,0.37100339655480785
Y,"('LH518B_11', 'N2705', 1, 12.0)",0.3708361746065623,0.3708361746065623
Z,"('LH518B_3', 1, 74.0)",0.6292096229727728,0.37079037702722717
Y,"('LH518B_2', 'C0555', 1, 127.0)",0.37079037702722684,0.37079037702722684
Y,"('LH518B_2', 'C0532', 1, 127.0)",0.6292096229727732,0.37079037702722684
Y,"('LH518B_3', 'C0510', 1, 34.0)",0.3707903770272268,0.3707903770272268
Y,"('LH518B_1', 'C0593', 1, 161.0)",0.3707903770272268,0.3707903770272268
Y,"('LH518B_3', 'C0473', 1, 62.0)",0.37053984121728767,0.37053984121728767
Z,"('LH518B_3', 1, 62.0)",0.6294601587827123,0.37053984121728767
Y,"('LH518B_11', 'N2710', 1, 154.0)",0.631034577527541,0.368965422472459
Y,"('LH518B_11', 'N2670', 1, 154.0)",0.36896542247245895,0.36896542247245895
Y,"('LH518B_9', 'N2831', 1, 69.0)",0.36834298886796524,0.36834298886796524
Y,"('LH518B_11', 'N2679', 1, 3.0)",0.36829534113010515,0.36829534113010515
Y,"('LH518B_11', 'N2706', 1, 97.0)",0.36829309704726754,0.36829309704726754
Z,"('LH518B_11', 1, 97.0)",0.6317069029527325,0.36829309704726754
Y,"('LH518B_11', 'N2707', 1, 11.0)",0.3682904049072375,0.3682904049072375
Y,"('LH518B_12', 'N2633', 1, 111.0)",0.6317097212111057,0.3682902787888943
Y,"('LH518B_10', 'N2781', 1, 72.0)",0.3682899137311154,0.3682899137311154
Y,"('LH518B_10', 'N2791', 1, 72.0)",0.6317100862688846,0.3682899137311154
Y,"('LH518B_12', 'N2630', 1, 145.0)",0.3682898718272927,0.3682898718272927
Y,"('LH518B_10', 'N2748', 1, 12.0)",0.631710138605459,0.368289861394541
Y,"('LH518B_10', 'N2744', 1, 12.0)",0.3682898613945409,0.3682898613945409
Y,"('LH518B_12', 'N2639', 1, 159.0)",0.6317101888293439,0.36828981117065607
Y,"('LH518B_9', 'N2830', 1, 147.0)",0.6317102058955604,0.3682897941044396
Y,"('LH518B_11', 'N2711', 1, 131.0)",0.631710701171438,0.368289298828562
Y,"('LH518B_11', 'N2716', 1, 131.0)",0.36828929882856193,0.36828929882856193
Y,"('LH518B_11', 'N2668', 1, 42.0)",0.36826883410101435,0.36826883410101435
Y,"('LH518B_11', 'N2714', 1, 42.0)",0.6317311658989857,0.3682688341010143
Y,"('LH518B_10', 'N2754', 1, 5.0)",0.6317477123135034,0.36825228768649665
Y,"('LH518B_10', 'N2755', 1, 5.0)",0.3682522876864966,0.3682522876864966
Y,"('LH518B_3', 'C0505', 1, 6.0)",0.6339834977395191,0.3660165022604809
Y,"('LH518B_3', 'C0482', 1, 6.0)",0.3660165022604809,0.3660165022604809
Z,"('LH518B_1', 1, 111.0)",0.363688861030449,0.363688861030449
Y,"('LH518B_2', 'C0529', 1, 59.0)",0.6470607202183196,0.3529392797816804
S,"('station_1', 1, 1.0)",0.3504040596292529,0.3504040596292529
Y,"('LH518B_1', 'C0619', 1, 156.0)",0.6499924641970465,0.3500075358029535
Y,"('LH518B_1', 'C0588', 1, 156.0)",0.3500075358029535,0.3500075358029535
Y,"('LH518B_4', 'C0409', 1, 163.0)",0.3495115508497455,0.3495115508497455
Y,"('LH518B_1', 'C0611', 1, 163.0)",0.3489667920127357,0.3489667920127357
Y,"('LH518B_4', 'C0419', 1, 3.0)",0.3479836559299112,0.3479836559299112
Z,"('LH518B_4', 1, 2.0)",0.3453906850703846,0.3453906850703846
Y,"('LH518B_8', 'C0047', 1, 157.0)",0.6585247831889898,0.34147521681101023
Z,"('LH518B_2', 1, 1.0)",0.662050761918074,0.337949238081926
