
Gurobi 12.0.3 (win64) logging started Sun Sep  6 21:34:35 2026

Set parameter LogFile to value "C:\Users\TECNO-MASTER\Desktop\Elmo_infrastructure_sizing_NP-\output\DCH_septiembre\Bateria_353\Costo_variable\Swap_restringido\Swap_variable_3estaciones_160kW_Descomp\station_3_d91_stage1\ELMO_log.txt"
Set parameter Threads to value 1
Set parameter Heuristics to value 0.5
Set parameter MIPFocus to value 3
Set parameter Presolve to value 2
Set parameter FlowCoverCuts to value 2
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900K, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  1200
MIPGap  0.05
Heuristics  0.5
MIPFocus  3
FlowCoverCuts  2
Presolve  2
Threads  1

Optimize a model with 26902 rows, 53707 columns and 245230 nonzeros
Model fingerprint: 0x3859cb56
Variable types: 2099 continuous, 51608 integer (18485 binary)
Coefficient statistics:
  Matrix range     [1e+00, 3e+02]
  Objective range  [1e-02, 8e+04]
  Bounds range     [1e+00, 1e+01]
  RHS range        [1e+00, 1e+04]
Presolve removed 25510 rows and 44910 columns
Presolve time: 0.15s
Presolved: 1392 rows, 8797 columns, 29333 nonzeros
Variable types: 216 continuous, 8581 integer (8164 binary)
Root relaxation presolved: 1392 rows, 8797 columns, 29333 nonzeros


Use crossover to convert LP symmetric solution to basic solution...

Root relaxation: objective 2.534958e+05, 4270 iterations, 0.09 seconds (0.08 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 15135 14605 265059.185  102   14 284579.270 265059.185  6.86%  23.5  600s
 15215 14685 265059.185   93   14 284579.270 265059.185  6.86%  23.5  605s
 15272 14742 265059.185   95   14 284579.270 265059.185  6.86%  23.5  611s
 15356 14826 265059.185  104   12 284579.270 265059.185  6.86%  23.5  615s
 15461 14931 265059.185  108   12 284579.270 265059.185  6.86%  23.5  620s
 15488 14958 265059.185  104   14 284579.270 265059.185  6.86%  23.5  625s
 15542 15012 265059.185  102   12 284579.270 265059.185  6.86%  23.5  630s
 15625 15095 265059.185  110   20 284579.270 265059.185  6.86%  23.4  635s
 15731 15201 265059.185   98   18 284579.270 265059.185  6.86%  23.4  640s
 15828 15298 265059.185  102   14 284579.270 265059.185  6.86%  23.4  645s
 15982 15452 265059.185  106   14 284579.270 265059.185  6.86%  23.3  650s
 16084 15554 265059.185  116   12 284579.270 265059.185  6.86%  23.3  655s
 16236 15706 265059.185   99   12 284579.270 265059.185  6.86%  23.2  660s
 16420 15890 265059.185   88   12 284579.270 265059.185  6.86%  23.1  665s
 16566 16036 265059.185   95   12 284579.270 265059.185  6.86%  23.1  670s
 16673 16143 265059.185  105   12 284579.270 265059.185  6.86%  23.0  675s
 16790 16260 265059.185  106   18 284579.270 265059.185  6.86%  23.0  680s
 16939 16409 265059.185   94   12 284579.270 265059.185  6.86%  23.0  685s
 17134 16604 265059.185   79   12 284579.270 265059.185  6.86%  22.9  690s
 17305 16775 265059.185   81   18 284579.270 265059.185  6.86%  22.8  695s
 17387 16857 265059.185   79   12 284579.270 265059.185  6.86%  22.8  700s
 17555 17025 265059.185   84   12 284579.270 265059.185  6.86%  22.7  705s
 17699 17169 265059.185   82   12 284579.270 265059.185  6.86%  22.6  710s
 17877 17347 265059.185   80   14 284579.270 265059.185  6.86%  22.5  715s
 18058 17528 265059.185   76   12 284579.270 265059.185  6.86%  22.3  720s
 18238 17708 265059.185   91   12 284579.270 265059.185  6.86%  22.3  725s
 18359 17829 265059.185   95   12 284579.270 265059.185  6.86%  22.2  730s
 18493 17963 265059.185   99   14 284579.270 265059.185  6.86%  22.2  735s
 18648 18118 265059.185   92   18 284579.270 265059.185  6.86%  22.2  740s
 18802 18272 265059.185   97   12 284579.270 265059.185  6.86%  22.2  745s
 18890 18360 265059.185   95   20 284579.270 265059.185  6.86%  22.1  750s
 19052 18522 265059.185   96   20 284579.270 265059.185  6.86%  22.1  755s
 19215 18685 265059.185   96   12 284579.270 265059.185  6.86%  22.1  760s
 19346 18816 265059.185   99   12 284579.270 265059.185  6.86%  22.1  766s
 19450 18920 265059.185  101   18 284579.270 265059.185  6.86%  22.1  770s
 19595 19065 265059.185  101   12 284579.270 265059.185  6.86%  22.0  775s
 19760 19230 265059.185  101   18 284579.270 265059.185  6.86%  22.0  780s
 19922 19392 265059.185   98   18 284579.270 265059.185  6.86%  22.0  785s
 20024 19494 265059.185   93   12 284579.270 265059.185  6.86%  22.0  790s
 20169 19639 265059.185   98   14 284579.270 265059.185  6.86%  21.9  795s
 20342 19812 265059.185   94   14 284579.270 265059.185  6.86%  21.9  800s
 20463 19933 265059.185  105   18 284579.270 265059.185  6.86%  21.9  807s
 20541 20011 265059.185  106   14 284579.270 265059.185  6.86%  21.9  810s
 20685 20155 265059.185   97   12 284579.270 265059.185  6.86%  21.8  815s
 20838 20308 265059.185  100   12 284579.270 265059.185  6.86%  21.8  820s
 21012 20482 265059.185  107   18 284579.270 265059.185  6.86%  21.8  825s
 21197 20667 265059.185   99   14 284579.270 265059.185  6.86%  21.8  830s
 21290 20760 265059.185   97   12 284579.270 265059.185  6.86%  21.7  837s
 21343 20813 265059.185   96   12 284579.270 265059.185  6.86%  21.7  841s
 21475 20945 265059.185   98   12 284579.270 265059.185  6.86%  21.7  845s
 21635 21105 265059.185   99   18 284579.270 265059.185  6.86%  21.7  850s
 21808 21278 265059.185   96   12 284579.270 265059.185  6.86%  21.6  855s
 21975 21445 265059.185   96   12 284579.270 265059.185  6.86%  21.6  860s
 22138 21608 265059.185   95   12 284579.270 265059.185  6.86%  21.6  865s
 22315 21785 265059.185   90   12 284579.270 265059.185  6.86%  21.6  870s
 22447 21917 265059.185   97   12 284579.270 265059.185  6.86%  21.6  875s
 22618 22088 265059.185   96   18 284579.270 265059.185  6.86%  21.5  880s
 22776 22246 265059.185  104   18 284579.270 265059.185  6.86%  21.5  885s
 22856 22326 265059.185  102   18 284579.270 265059.185  6.86%  21.5  890s
 23034 22504 265059.185  102   12 284579.270 265059.185  6.86%  21.5  895s
 23176 22646 265059.185  100   18 284579.270 265059.185  6.86%  21.5  900s
 23256 22726 265059.185   98   12 284579.270 265059.185  6.86%  21.5  905s
 23399 22869 265059.185  101   12 284579.270 265059.185  6.86%  21.5  910s
 23558 23028 265059.185   98   12 284579.270 265059.185  6.86%  21.5  915s
 23685 23155 265059.185  104   14 284579.270 265059.185  6.86%  21.5  920s
 23850 23320 265059.185  101   12 284579.270 265059.185  6.86%  21.4  925s
 24015 23485 265059.185   98   12 284579.270 265059.185  6.86%  21.4  931s
 24100 23570 265059.185  105   14 284579.270 265059.185  6.86%  21.4  935s
 24262 23732 265059.185  108   12 284579.270 265059.185  6.86%  21.4  940s
 24427 23897 265059.185  105   12 284579.270 265059.185  6.86%  21.3  945s
 24561 24031 265059.185  100   12 284579.270 265059.185  6.86%  21.3  950s
 24627 24097 265059.185  106   14 284579.270 265059.185  6.86%  21.3  955s
 24806 24276 265059.185  104   20 284579.270 265059.185  6.86%  21.3  960s
 24950 24420 265059.185  104   18 284579.270 265059.185  6.86%  21.3  965s
 25129 24599 265059.185  106   12 284579.270 265059.185  6.86%  21.2  970s
 25276 24746 265059.185   98   12 284579.270 265059.185  6.86%  21.2  975s
 25358 24828 265059.185  105   16 284579.270 265059.185  6.86%  21.2  980s
 25511 24981 265059.185  103   14 284579.270 265059.185  6.86%  21.1  985s
 25673 25143 265059.185  108   14 284579.270 265059.185  6.86%  21.1  990s
 25832 25302 265059.185  107   18 284579.270 265059.185  6.86%  21.1  995s
 25982 25452 265059.185  100   12 284579.270 265059.185  6.86%  21.1 1000s
 26073 25543 265059.185  106   12 284579.270 265059.185  6.86%  21.1 1005s
 26221 25691 265059.185  103   18 284579.270 265059.185  6.86%  21.1 1010s
 26367 25837 265059.185  102   12 284579.270 265059.185  6.86%  21.0 1015s
 26527 25997 265059.185  102   12 284579.270 265059.185  6.86%  21.0 1020s
 26682 26152 265059.185  101   12 284579.270 265059.185  6.86%  21.0 1025s
 26698 26168 265059.185  101   20 284579.270 265059.185  6.86%  21.0 1030s
 26847 26317 265059.185  101   12 284579.270 265059.185  6.86%  21.0 1035s
 27001 26471 265059.185  104   12 284579.270 265059.185  6.86%  20.9 1040s
 27164 26634 265059.185  104   18 284579.270 265059.185  6.86%  20.9 1045s
 27297 26767 265059.185  105   12 284579.270 265059.185  6.86%  20.9 1050s
 27440 26910 265059.185  111   12 284579.270 265059.185  6.86%  20.9 1055s
 27571 27041 265059.185  123   16 284579.270 265059.185  6.86%  20.9 1060s
 27740 27210 265059.185  118   12 284579.270 265059.185  6.86%  20.9 1065s
 27851 27321 265059.185  124   20 284579.270 265059.185  6.86%  20.8 1070s
 28037 27507 265059.185  125   14 284579.270 265059.185  6.86%  20.8 1075s
 28173 27643 265059.185  134   12 284579.270 265059.185  6.86%  20.8 1080s
 28278 27748 265059.185  106   12 284579.270 265059.185  6.86%  20.8 1085s
 28419 27889 265059.185  106   20 284579.270 265059.185  6.86%  20.8 1090s
 28573 28043 265059.185   97   12 284579.270 265059.185  6.86%  20.8 1095s
 28709 28179 265059.185  101   20 284579.270 265059.185  6.86%  20.8 1100s
 28789 28259 265059.185  106   18 284579.270 265059.185  6.86%  20.8 1105s
 28945 28415 265059.185  109   12 284579.270 265059.185  6.86%  20.8 1110s
 29109 28579 265059.185  122   12 284579.270 265059.185  6.86%  20.7 1115s
 29290 28760 265059.185  101   12 284579.270 265059.185  6.86%  20.7 1120s
 29377 28847 265059.185  109   20 284579.270 265059.185  6.86%  20.7 1125s
 29499 28969 265059.185  123   20 284579.270 265059.185  6.86%  20.7 1130s
 29665 29135 265059.185  118   12 284579.270 265059.185  6.86%  20.7 1135s
 29824 29294 265059.185  111   12 284579.270 265059.185  6.86%  20.7 1140s
 30018 29488 265059.185  128   12 284579.270 265059.185  6.86%  20.7 1145s
 30097 29567 265059.185  134   12 284579.270 265059.185  6.86%  20.6 1150s
 30235 29705 265059.185  146   12 284579.270 265059.185  6.86%  20.6 1155s
 30383 29853 265059.185  151   16 284579.270 265059.185  6.86%  20.6 1160s
 30535 30005 265059.185  151   15 284579.270 265059.185  6.86%  20.6 1165s
 30722 30192 265059.185  145   12 284579.270 265059.185  6.86%  20.5 1170s
 30851 30321 265059.185  159   12 284579.270 265059.185  6.86%  20.5 1175s
 30962 30432 265059.185  143   14 284579.270 265059.185  6.86%  20.5 1180s
 31134 30604 265059.185  148   12 284579.270 265059.185  6.86%  20.5 1185s
 31338 30808 265059.185  132   12 284579.270 265059.185  6.86%  20.4 1190s
 31465 30935 265059.185  144   14 284579.270 265059.185  6.86%  20.4 1195s

Cutting planes:
  Gomory: 11
  Lift-and-project: 1
  Flow cover: 3

Explored 31608 nodes (657102 simplex iterations) in 1200.02 seconds (2142.06 work units)
Thread count was 1 (of 32 available processors)

Solution count 10: 284579 284741 408159 ... 408302

Time limit reached
Best objective 2.845792700273e+05, best bound 2.650591845613e+05, gap 6.8593%
