
Gurobi 12.0.3 (win64) logging started Tue Sep  8 03:52:04 2026

Set parameter LogFile to value "C:\Users\TECNO-MASTER\Desktop\Elmo_infrastructure_sizing_NP-\output\DCH_septiembre\Bateria_482\Costo_variable\Swap_restringido\Swap_variable_3estaciones_160kW_Descomp\station_2_d244_stage1\ELMO_log.txt"
Set parameter Threads to value 1
Set parameter Heuristics to value 0.5
Set parameter MIPFocus to value 3
Set parameter Presolve to value 2
Set parameter FlowCoverCuts to value 2
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900K, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  1200
MIPGap  0.05
Heuristics  0.5
MIPFocus  3
FlowCoverCuts  2
Presolve  2
Threads  1

Optimize a model with 26932 rows, 54733 columns and 251095 nonzeros
Model fingerprint: 0x67cbb77c
Variable types: 2129 continuous, 52604 integer (19481 binary)
Coefficient statistics:
  Matrix range     [1e+00, 4e+02]
  Objective range  [8e-03, 8e+04]
  Bounds range     [1e+00, 1e+01]
  RHS range        [1e+00, 1e+04]
Presolve removed 25549 rows and 45426 columns
Presolve time: 0.19s
Presolved: 1383 rows, 9307 columns, 30359 nonzeros
Variable types: 216 continuous, 9091 integer (8776 binary)
Root relaxation presolved: 1383 rows, 9307 columns, 30359 nonzeros


Use crossover to convert LP symmetric solution to basic solution...

Root relaxation: objective 2.547812e+05, 4150 iterations, 0.07 seconds (0.07 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  9823  4135 266001.996  263   47 283621.709 266001.996  6.21%   147  580s
  9916  4218 266001.996  241   44 283621.709 266001.996  6.21%   148  585s
  9987  4285 266001.996  219   49 283621.709 266001.996  6.21%   149  590s
 10067  4365 266001.996  212   38 283621.709 266001.996  6.21%   149  595s
 10087  4385 266001.996  208   27 283621.709 266001.996  6.21%   150  600s
 10122  4420 266001.996  197   44 283621.709 266001.996  6.21%   150  605s
 10205  4488 266001.996  218   30 283621.709 266001.996  6.21%   152  610s
 10305  4581 266001.996  194   51 283621.709 266001.996  6.21%   153  615s
 10340  4610 266001.996  215   29 283621.709 266001.996  6.21%   154  620s
 10413  4678 266001.996  246   40 283621.709 266001.996  6.21%   155  625s
 10477  4737 266001.996  105   44 283621.709 266001.996  6.21%   156  630s
 10525  4783 266001.996  101   58 283621.709 266001.996  6.21%   157  635s
 10530  4788 266001.996  112   55 283621.709 266001.996  6.21%   157  640s
 10592  4840 266001.996  226   51 283621.709 266001.996  6.21%   158  645s
 10635  4879 266001.996   95   37 283621.709 266001.996  6.21%   159  650s
 10672  4912 266001.996  208   48 283621.709 266001.996  6.21%   160  655s
 10720  4959 266001.996   83   47 283621.709 266001.996  6.21%   160  660s
 10768  4997 271329.600   96  118 283621.709 266001.996  6.21%   162  665s
 10797  5025 266001.996  123   41 283621.709 266001.996  6.21%   163  670s
 10824  5051 266001.996  126   47 283621.709 266001.996  6.21%   164  675s
 10858  5085 266001.996   87   33 283621.709 266001.996  6.21%   165  680s
 10905  5130 266001.996  174   52 283621.709 266001.996  6.21%   167  687s
 10932  5157 266001.996  162   37 283621.709 266001.996  6.21%   168  690s
 10977  5202 270959.325   90  106 283621.709 266001.996  6.21%   170  697s
 11013  5238 266001.996  271   40 283621.709 266001.996  6.21%   171  700s
 11078  5296 266001.996   95   35 283621.709 266001.996  6.21%   173  705s
 11148  5361 266001.996  223   34 283621.709 266001.996  6.21%   175  712s
 11175  5384 266001.996  113   57 283621.709 266001.996  6.21%   176  715s
 11200  5407 266001.996  211   40 283621.709 266001.996  6.21%   176  720s
 11264  5470 275350.744  263   56 283621.709 266001.996  6.21%   177  725s
 11302  5506 266001.996  158   44 283621.709 266001.996  6.21%   178  730s
 11386  5588 266001.996  142   54 283621.709 266001.996  6.21%   180  735s
 11419  5618 266001.996  209   48 283621.709 266001.996  6.21%   180  740s
 11461  5660 266001.996   69   38 283621.709 266001.996  6.21%   180  745s
 11540  5737 273492.381   94   72 283621.709 266001.996  6.21%   183  750s
 11585  5780 271150.159   94  105 283621.709 266001.996  6.21%   185  757s
 11628  5823 266001.996   72   46 283621.709 266001.996  6.21%   187  760s
 11676  5870 266001.996  115   52 283621.709 266001.996  6.21%   188  766s
 11730  5919 266003.479  249   47 283621.709 266001.996  6.21%   190  771s
 11757  5946 266001.996  123   63 283621.709 266001.996  6.21%   191  775s
 11805  5990 266001.996  107   60 283621.709 266001.996  6.21%   194  780s
 11880  6045 266002.092   94   43 283621.709 266001.996  6.21%   197  785s
 11922  6077 274008.734  164   74 283621.709 266001.996  6.21%   199  790s
 11962  6104 274201.001  172   71 283621.709 266001.996  6.21%   201  797s
 12000  6131 266001.996  216   29 283621.709 266001.996  6.21%   202  801s
 12072  6191 266002.414  187   47 283621.709 266001.996  6.21%   204  805s
 12139  6242 272392.446  140   93 283621.709 266001.996  6.21%   205  810s
 12208  6301 266001.996  199   54 283621.709 266001.996  6.21%   208  815s
 12243  6329 275185.217  216   52 283621.709 266001.996  6.21%   209  821s
 12297  6378 275296.920  253   35 283621.709 266001.996  6.21%   209  828s
 12298  6379 266003.479  253   30 283621.709 266001.996  6.21%   209  830s
