
Gurobi 12.0.3 (win64) logging started Tue Sep  8 03:52:04 2026

Set parameter LogFile to value "C:\Users\TECNO-MASTER\Desktop\Elmo_infrastructure_sizing_NP-\output\DCH_septiembre\Bateria_482\Costo_variable\Swap_restringido\Swap_variable_3estaciones_160kW_Descomp\station_2_d244_stage1\ELMO_log.txt"
Set parameter Threads to value 1
Set parameter Heuristics to value 0.5
Set parameter MIPFocus to value 3
Set parameter Presolve to value 2
Set parameter FlowCoverCuts to value 2
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900K, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  1200
MIPGap  0.05
Heuristics  0.5
MIPFocus  3
FlowCoverCuts  2
Presolve  2
Threads  1

Optimize a model with 26932 rows, 54733 columns and 251095 nonzeros
Model fingerprint: 0x67cbb77c
Variable types: 2129 continuous, 52604 integer (19481 binary)
Coefficient statistics:
  Matrix range     [1e+00, 4e+02]
  Objective range  [8e-03, 8e+04]
  Bounds range     [1e+00, 1e+01]
  RHS range        [1e+00, 1e+04]
Presolve removed 25549 rows and 45426 columns
Presolve time: 0.19s
Presolved: 1383 rows, 9307 columns, 30359 nonzeros
Variable types: 216 continuous, 9091 integer (8776 binary)
Root relaxation presolved: 1383 rows, 9307 columns, 30359 nonzeros


Use crossover to convert LP symmetric solution to basic solution...

Root relaxation: objective 2.547812e+05, 4150 iterations, 0.07 seconds (0.07 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 13564  7497 275185.396  211   59 283621.709 266001.996  6.21%   239 1005s
 13586  7512 266001.996  210   46 283621.709 266001.996  6.21%   239 1011s
 13640  7553 266001.996   98   37 283621.709 266001.996  6.21%   240 1015s
 13720  7626 266001.996   99   35 283621.709 266001.996  6.21%   241 1022s
 13781  7687 266001.996  108   27 283621.709 266001.996  6.21%   241 1025s
 13803  7709 266001.996   97   32 283621.709 266001.996  6.21%   241 1030s
 13857  7757 266002.799  206   59 283621.709 266001.996  6.21%   242 1035s
 13910  7805 273581.164  113   81 283621.709 266001.996  6.21%   243 1040s
 13963  7853 267393.675  129   78 283621.709 266001.996  6.21%   244 1045s
 14014  7894 266001.996   91   80 283621.709 266001.996  6.21%   245 1050s
 14038  7914 270558.752  237   70 283621.709 266001.996  6.21%   246 1055s
 14102  7968 273469.918   90   82 283621.709 266001.996  6.21%   247 1060s
H14152  8014                    283621.70845 266001.996  6.21%   248 1064s
 14152  8016 275185.217  190   58 283621.708 266001.996  6.21%   248 1065s
 14180  8040 275185.396  232   41 283621.708 266001.996  6.21%   249 1071s
 14243  8103 273435.299   98   78 283621.708 266001.996  6.21%   251 1075s
 14297  8156 271252.286   94   93 283621.708 266001.996  6.21%   252 1080s
 14321  8180 266002.264  143   45 283621.708 266001.996  6.21%   253 1086s
 14368  8223 267437.502  128  106 283621.708 266001.996  6.21%   254 1090s
 14428  8281 271058.806   90   90 283621.708 266001.996  6.21%   256 1095s
 14476  8329 266001.996  126   38 283621.708 266001.996  6.21%   257 1100s
 14581  8412 266001.996  206   36 283621.708 266001.996  6.21%   259 1105s
 14611  8437 266001.996  126   62 283621.708 266001.996  6.21%   260 1110s
