
Gurobi 12.0.3 (win64) logging started Mon Sep  7 23:47:58 2026

Set parameter LogFile to value "C:\Users\TECNO-MASTER\Desktop\Elmo_infrastructure_sizing_NP-\output\DCH_septiembre\Bateria_353\Costo_variable\Swap_libre\Swap_variable_3estaciones_160kW_Descomp\station_2_d335_stage1\ELMO_log.txt"
Set parameter Threads to value 1
Set parameter Heuristics to value 0.5
Set parameter MIPFocus to value 3
Set parameter Presolve to value 2
Set parameter FlowCoverCuts to value 2
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900K, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  1200
MIPGap  0.05
Heuristics  0.5
MIPFocus  3
FlowCoverCuts  2
Presolve  2
Threads  1

Optimize a model with 26358 rows, 54733 columns and 249676 nonzeros
Model fingerprint: 0x7ba45f82
Variable types: 2129 continuous, 52604 integer (19481 binary)
Coefficient statistics:
  Matrix range     [1e+00, 3e+02]
  Objective range  [4e-03, 8e+04]
  Bounds range     [1e+00, 1e+01]
  RHS range        [1e+00, 1e+04]
Presolve removed 23476 rows and 44287 columns
Presolve time: 0.27s
Presolved: 2882 rows, 10446 columns, 34356 nonzeros
Variable types: 824 continuous, 9622 integer (9084 binary)
Found heuristic solution: objective 546465.97195
Root relaxation presolved: 2882 rows, 10446 columns, 34356 nonzeros


Root relaxation: objective 1.787162e+05, 14007 iterations, 2.00 seconds (2.20 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  5218  4686 179412.938  560   16 286049.875 179412.938  37.3%  28.9  620s
  5259  4727 179412.938 1211   30 286049.875 179412.938  37.3%  28.9  625s
  5310  4778 179412.938  606   18 286049.875 179412.938  37.3%  28.7  630s
  5358  4826 179412.938  630   25 286049.875 179412.938  37.3%  28.8  635s
  5401  4869 179412.938 1282   26 286049.875 179412.938  37.3%  28.9  640s
  5448  4916 179412.938  675   21 286049.875 179412.938  37.3%  29.0  645s
H 5488  4954                    285980.37152 179412.938  37.3%  29.0  649s
H 5488  4954                    285950.70051 179412.938  37.3%  29.0  650s
  5502  4970 179412.938  702   16 285950.701 179412.938  37.3%  29.0  655s
  5549  5017 179412.938 1356   32 285950.701 179412.938  37.3%  29.4  660s
  5584  5052 179412.938  743   18 285950.701 179412.938  37.3%  29.5  665s
  5622  5090 179412.938  762   16 285950.701 179412.938  37.3%  29.4  670s
  5668  5136 179412.938  785   14 285950.701 179412.938  37.3%  29.6  675s
  5714  5182 179412.938  808   16 285950.701 179412.938  37.3%  29.6  680s
  5745  5213 179412.938 1454   18 285950.701 179412.938  37.3%  29.7  685s
  5784  5252 179412.938  843   18 285950.701 179412.938  37.3%  29.8  690s
  5826  5294 179412.938   35   14 285950.701 179412.938  37.3%  29.8  695s
  5871  5339 179412.938 1517   14 285950.701 179412.938  37.3%  29.7  700s
  5904  5372 179412.938   74   14 285950.701 179412.938  37.3%  29.7  705s
  5940  5408 179412.938   92   16 285950.701 179412.938  37.3%  29.7  710s
  5988  5456 179412.938  116   20 285950.701 179412.938  37.3%  29.5  715s
  6023  5491 179412.938 1593   20 285950.701 179412.938  37.3%  29.4  720s
  6056  5524 179412.938  150   22 285950.701 179412.938  37.3%  29.3  725s
  6096  5564 179412.938  170   12 285950.701 179412.938  37.3%  29.2  730s
  6142  5610 179412.938  193   14 285950.701 179412.938  37.3%  29.3  739s
  6150  5618 179412.938  197   14 285950.701 179412.938  37.3%  29.4  740s
  6180  5648 179412.938  212   20 285950.701 179412.938  37.3%  29.3  745s
  6219  5687 179412.938 1691   64 285950.701 179412.938  37.3%  29.7  750s
H 6231  5697                    285260.38043 179412.938  37.1%  29.9  751s
  6247  5715 179412.938   79   18 285260.380 179412.938  37.1%  30.2  755s
  6294  5762 179412.938  269   12 285260.380 179412.938  37.1%  30.1  760s
  6336  5804 179412.938  290   16 285260.380 179412.938  37.1%  30.1  765s
  6378  5846 179412.938  311   22 285260.380 179412.938  37.1%  29.9  770s
  6435  5903 179412.938  173   18 285260.380 179412.938  37.1%  29.8  775s
  6486  5954 179412.938  365   12 285260.380 179412.938  37.1%  29.7  780s
  6524  5992 179412.938  384   16 285260.380 179412.938  37.1%  29.5  785s
  6566  6034 179412.938  405   14 285260.380 179412.938  37.1%  29.5  790s
  6609  6077 179412.938  260   14 285260.380 179412.938  37.1%  29.5  795s
  6666  6134 179412.938  455   14 285260.380 179412.938  37.1%  29.5  800s
  6696  6164 179412.938  470   18 285260.380 179412.938  37.1%  29.5  805s
  6724  6192 179412.938  484   18 285260.380 179412.938  37.1%  29.4  811s
  6767  6235 179412.938  339   16 285260.380 179412.938  37.1%  29.2  815s
  6809  6277 179412.938  360   16 285260.380 179412.938  37.1%  29.1  820s
  6849  6317 179412.938  380   14 285260.380 179412.938  37.1%  29.0  825s
  6894  6362 179412.938  569   12 285260.380 179412.938  37.1%  28.9  830s
  6951  6419 179412.938  431   20 285260.380 179412.938  37.1%  28.7  835s
  7007  6475 179412.938  459   14 285260.380 179412.938  37.1%  28.6  840s
  7057  6525 179412.938  484   15 285260.380 179412.938  37.1%  28.4  845s
  7105  6573 179412.938  508   12 285260.380 179412.938  37.1%  28.2  850s
  7161  6629 179412.938  536   16 285260.380 179412.938  37.1%  28.0  855s
H 7177  6643                    284609.30215 179412.938  37.0%  28.0  856s
  7203  6671 179412.938  557   16 284609.302 179412.938  37.0%  28.0  860s
H 7231  6697                    284416.13438 179412.938  36.9%  28.0  866s
