
Gurobi 12.0.3 (win64) logging started Mon Aug 24 00:05:07 2026

Set parameter LogFile to value "C:\Users\TECNO-MASTER\Desktop\Elmo_infrastructure_sizing_NP-\output\DCH_agosto\Costo_variable\Swap_libre\Swap_variable_3estaciones_320kW_Descomp\station_1_d152_stage1\ELMO_log.txt"
Set parameter Threads to value 1
Set parameter Heuristics to value 0.5
Set parameter MIPFocus to value 3
Set parameter Presolve to value 2
Set parameter FlowCoverCuts to value 2
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900K, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  1200
MIPGap  0.05
Heuristics  0.5
MIPFocus  3
FlowCoverCuts  2
Presolve  2
Threads  1

Optimize a model with 26359 rows, 53707 columns and 243503 nonzeros
Model fingerprint: 0xe488b42d
Variable types: 2099 continuous, 51608 integer (18485 binary)
Coefficient statistics:
  Matrix range     [1e+00, 3e+02]
  Objective range  [1e-02, 8e+04]
  Bounds range     [1e+00, 1e+01]
  RHS range        [1e+00, 1e+04]
Presolve removed 23413 rows and 43752 columns
Presolve time: 0.13s
Presolved: 2946 rows, 9955 columns, 32491 nonzeros
Variable types: 824 continuous, 9131 integer (8474 binary)
Root relaxation presolved: 2946 rows, 9955 columns, 32491 nonzeros

Warning: Markowitz tolerance tightened to 0.03125

Root relaxation: objective 2.221018e+05, 15716 iterations, 1.43 seconds (2.43 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  4892  4353 222412.422  463   12 260535.528 222412.422  14.6%  88.7  435s
  4946  4407 222412.422  435   14 260535.528 222412.422  14.6%  88.3  440s
  5023  4484 222412.422  434   10 260535.528 222412.422  14.6%  88.0  445s
  5104  4565 222412.422  418   16 260535.528 222412.422  14.6%  87.7  450s
  5185  4646 222412.422  400   14 260535.528 222412.422  14.6%  87.2  455s
  5267  4728 222412.422  409   52 260535.528 222412.422  14.6%  86.9  460s
  5320  4781 222412.422  416   10 260535.528 222412.422  14.6%  86.8  465s
  5395  4856 222412.422  411   10 260535.528 222412.422  14.6%  86.5  470s
  5473  4934 222412.422  403   10 260535.528 222412.422  14.6%  86.2  475s
  5536  4997 222412.422  409   10 260535.528 222412.422  14.6%  86.0  480s
  5591  5052 222412.422  416   14 260535.528 222412.422  14.6%  85.8  486s
  5652  5113 222412.422  423   10 260535.528 222412.422  14.6%  85.7  490s
  5752  5213 222412.422  410   10 260535.528 222412.422  14.6%  85.4  495s
  5826  5287 222412.422  423   10 260535.528 222412.422  14.6%  85.2  500s
  5887  5348 222412.422  411   16 260535.528 222412.422  14.6%  85.0  505s
  5907  5368 222412.422  398   16 260535.528 222412.422  14.6%  85.0  510s
  5969  5430 222412.422  400   14 260535.528 222412.422  14.6%  84.8  515s
  6039  5500 222412.422  419   14 260535.528 222412.422  14.6%  84.6  520s
  6103  5564 222412.422  432   12 260535.528 222412.422  14.6%  84.4  525s
  6182  5643 222412.422  454   10 260535.528 222412.422  14.6%  84.2  530s
  6243  5704 222412.422  467   10 260535.528 222412.422  14.6%  83.9  535s
  6330  5791 222412.422  493   10 260535.528 222412.422  14.6%  83.7  540s
  6406  5867 222412.422  519   12 260535.528 222412.422  14.6%  83.4  547s
  6438  5899 222412.422  523   12 260535.528 222412.422  14.6%  83.2  550s
  6505  5966 222412.422  540   10 260535.528 222412.422  14.6%  82.8  555s
  6596  6057 222412.422  549   10 260535.528 222412.422  14.6%  82.5  560s
  6671  6132 222412.422  557   10 260535.528 222412.422  14.6%  82.3  565s
  6778  6239 222412.422  575   10 260535.528 222412.422  14.6%  82.1  570s
  6832  6293 222412.422  561   48 260535.528 222412.422  14.6%  82.0  575s
  6890  6351 222412.422  567   10 260535.528 222412.422  14.6%  81.8  580s
  6973  6434 222412.422  576  177 260535.528 222412.422  14.6%  81.5  585s
H 7004  6463                    223999.72478 222412.422  0.71%  81.4  589s

Cutting planes:
  Gomory: 3
  Lift-and-project: 2
  MIR: 1
  Flow cover: 2

Explored 7005 nodes (602700 simplex iterations) in 589.13 seconds (1041.40 work units)
Thread count was 1 (of 32 available processors)

Solution count 10: 224000 260536 260807 ... 262599

Optimal solution found (tolerance 5.00e-02)
Best objective 2.239997247759e+05, best bound 2.224124216285e+05, gap 0.7086%
