
Gurobi 12.0.3 (win64) logging started Mon Sep  7 02:22:26 2026

Set parameter LogFile to value "C:\Users\TECNO-MASTER\Desktop\Elmo_infrastructure_sizing_NP-\output\DCH_septiembre\Bateria_482\Costo_variable\Swap_restringido\Swap_variable_3estaciones_320kW_Descomp\station_1_d121_stage1\ELMO_log.txt"
Set parameter Threads to value 1
Set parameter Heuristics to value 0.5
Set parameter MIPFocus to value 3
Set parameter Presolve to value 2
Set parameter FlowCoverCuts to value 2
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900K, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  1200
MIPGap  0.05
Heuristics  0.5
MIPFocus  3
FlowCoverCuts  2
Presolve  2
Threads  1

Optimize a model with 26902 rows, 53707 columns and 244558 nonzeros
Model fingerprint: 0x43483de8
Variable types: 2099 continuous, 51608 integer (18485 binary)
Coefficient statistics:
  Matrix range     [1e+00, 4e+02]
  Objective range  [8e-03, 8e+04]
  Bounds range     [1e+00, 1e+01]
  RHS range        [1e+00, 1e+04]
Presolve removed 25512 rows and 44919 columns
Presolve time: 0.12s
Presolved: 1390 rows, 8788 columns, 28693 nonzeros
Variable types: 216 continuous, 8572 integer (8166 binary)
Root relaxation presolved: 1390 rows, 8788 columns, 28693 nonzeros


Use crossover to convert LP symmetric solution to basic solution...

Root relaxation: objective 2.166622e+05, 3411 iterations, 0.04 seconds (0.05 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 15719 15173 235936.790  186   22 280390.819 235936.790  15.9%   120  625s
 15855 15309 235936.790  177    9 280390.819 235936.790  15.9%   120  630s
 15990 15444 235936.790  183    9 280390.819 235936.790  15.9%   120  636s
 16083 15537 235936.790  177    9 280390.819 235936.790  15.9%   120  640s
 16248 15702 235936.790  180    9 280390.819 235936.790  15.9%   121  645s
 16369 15823 235936.790  177    9 280390.819 235936.790  15.9%   121  652s
 16410 15864 235936.790  179    9 280390.819 235936.790  15.9%   121  655s
 16545 15999 235936.790  173    9 280390.819 235936.790  15.9%   121  660s
 16691 16145 235936.790  178    9 280390.819 235936.790  15.9%   121  665s
 16842 16296 235936.790  174    9 280390.819 235936.790  15.9%   122  670s
 16968 16422 235936.790  164    9 280390.819 235936.790  15.9%   122  675s
 17132 16586 235936.790  166   14 280390.819 235936.790  15.9%   121  680s
 17247 16701 235936.790  177   15 280390.819 235936.790  15.9%   121  685s
 17397 16851 235936.790  183   15 280390.819 235936.790  15.9%   121  690s
 17562 17016 235936.790  173    9 280390.819 235936.790  15.9%   121  695s
 17653 17107 235936.790  180    9 280390.819 235936.790  15.9%   121  700s
 17772 17226 235936.790  177    9 280390.819 235936.790  15.9%   121  705s
 17893 17347 235936.790  177    9 280390.819 235936.790  15.9%   121  710s
 18031 17485 235936.790  178    9 280390.819 235936.790  15.9%   121  716s
 18169 17623 235936.790  183   24 280390.819 235936.790  15.9%   122  720s
 18312 17766 235936.790  180    9 280390.819 235936.790  15.9%   122  725s
 18376 17830 235936.790  175   23 280390.819 235936.790  15.9%   122  730s
 18516 17970 235936.790  180   15 280390.819 235936.790  15.9%   122  735s
 18656 18110 235936.790  175    9 280390.819 235936.790  15.9%   122  740s
