
Gurobi 12.0.3 (win64) logging started Mon Sep  7 23:47:25 2026

Set parameter LogFile to value "C:\Users\TECNO-MASTER\Desktop\Elmo_infrastructure_sizing_NP-\output\DCH_septiembre\Bateria_353\Costo_variable\Swap_libre\Swap_variable_3estaciones_160kW_Descomp\station_1_d152_stage1\ELMO_log.txt"
Set parameter Threads to value 1
Set parameter Heuristics to value 0.5
Set parameter MIPFocus to value 3
Set parameter Presolve to value 2
Set parameter FlowCoverCuts to value 2
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900K, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  1200
MIPGap  0.05
Heuristics  0.5
MIPFocus  3
FlowCoverCuts  2
Presolve  2
Threads  1

Optimize a model with 26358 rows, 53707 columns and 244684 nonzeros
Model fingerprint: 0x4f557783
Variable types: 2099 continuous, 51608 integer (18485 binary)
Coefficient statistics:
  Matrix range     [1e+00, 3e+02]
  Objective range  [1e-02, 8e+04]
  Bounds range     [1e+00, 1e+01]
  RHS range        [1e+00, 1e+04]
Presolve removed 23428 rows and 43752 columns
Presolve time: 0.15s
Presolved: 2930 rows, 9955 columns, 32796 nonzeros
Variable types: 824 continuous, 9131 integer (8568 binary)
Found heuristic solution: objective 600304.35807
Found heuristic solution: objective 562130.28095
Root relaxation presolved: 2930 rows, 9955 columns, 32796 nonzeros


Root relaxation: objective 1.806962e+05, 14706 iterations, 1.42 seconds (2.37 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  1808  1302 180927.333   40   81 284233.100 180918.517  36.3%  1137  530s
  1826  1314 180918.517   36   87 284233.100 180918.517  36.3%  1143  535s
  1844  1326 180918.517   40   89 284233.100 180918.517  36.3%  1146  540s
  1858  1335 180918.517   28   91 284233.100 180918.517  36.3%  1147  545s
  1878  1349 181072.758   36  154 284233.100 180918.517  36.3%  1150  550s
  1900  1367 181072.758   35  159 284233.100 180918.517  36.3%  1152  555s
  1916  1383 180918.517   37  101 284233.100 180918.517  36.3%  1161  560s
  1935  1402 180918.517   40   61 284233.100 180918.517  36.3%  1167  565s
  1953  1420 180918.517   45   56 284233.100 180918.517  36.3%  1170  570s
  1980  1447 180918.517   29   57 284233.100 180918.517  36.3%  1167  575s
  2008  1475 180918.517   33   40 284233.100 180918.517  36.3%  1156  590s
  2033  1500 180918.517   37   58 284233.100 180918.517  36.3%  1152  595s
  2051  1518 180918.517   36   45 284233.100 180918.517  36.3%  1152  600s
  2073  1540 180925.247   39   88 284233.100 180918.517  36.3%  1155  605s
  2090  1557 184021.617   40  226 284233.100 180918.517  36.3%  1157  610s
  2110  1577 180918.517   43   46 284233.100 180918.517  36.3%  1156  615s
  2128  1595 180931.303   46   52 284233.100 180918.517  36.3%  1160  620s
  2150  1617 180918.517   35   49 284233.100 180918.517  36.3%  1160  625s
  2170  1637 180918.517   36   40 284233.100 180918.517  36.3%  1159  630s
  2191  1658 180930.655   41   86 284233.100 180918.517  36.3%  1160  635s
  2211  1678 180996.509   36   87 284233.100 180918.517  36.3%  1161  640s
  2236  1703 180918.517   33   46 284233.100 180918.517  36.3%  1159  645s
  2259  1726 180918.517   37   41 284233.100 180918.517  36.3%  1156  650s
  2273  1740 184961.478   39  195 284233.100 180918.517  36.3%  1155  655s
  2281  1748 180918.517   39   33 284233.100 180918.517  36.3%  1155  661s
  2303  1770 184317.768   35  225 284233.100 180918.517  36.3%  1153  665s
  2327  1794 180918.517   39   58 284233.100 180918.517  36.3%  1152  670s
  2349  1816 181566.099   36  245 284233.100 180918.517  36.3%  1149  675s
  2367  1834 180918.517   36   55 284233.100 180918.517  36.3%  1148  685s
  2390  1857 180927.529   41   97 284233.100 180918.517  36.3%  1150  690s
  2408  1875 180918.517   32   25 284233.100 180918.517  36.3%  1154  695s
  2425  1892 180918.517   34   46 284233.100 180918.517  36.3%  1151  700s
  2448  1915 187473.293   38  191 284233.100 180918.517  36.3%  1149  705s
  2467  1934 180918.517   39   62 284233.100 180918.517  36.3%  1149  710s
  2486  1953 191937.018   44  213 284233.100 180918.517  36.3%  1150  715s
  2501  1968 180918.517   42   58 284233.100 180918.517  36.3%  1151  720s
  2519  1986 182685.098   44  200 284233.100 180918.517  36.3%  1151  725s
  2530  1997 183032.551   46  203 284233.100 180918.517  36.3%  1152  742s
  2538  2005 181009.247   47   94 284233.100 180918.517  36.3%  1152  745s
