
Gurobi 12.0.3 (win64) logging started Tue Sep  8 00:42:19 2026

Set parameter LogFile to value "C:\Users\TECNO-MASTER\Desktop\Elmo_infrastructure_sizing_NP-\output\DCH_septiembre\Bateria_353\Costo_variable\Swap_restringido\Swap_variable_3estaciones_320kW_Descomp\station_2_d244_stage1\ELMO_log.txt"
Set parameter Threads to value 1
Set parameter Heuristics to value 0.5
Set parameter MIPFocus to value 3
Set parameter Presolve to value 2
Set parameter FlowCoverCuts to value 2
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900K, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  1200
MIPGap  0.05
Heuristics  0.5
MIPFocus  3
FlowCoverCuts  2
Presolve  2
Threads  1

Optimize a model with 26932 rows, 54733 columns and 249097 nonzeros
Model fingerprint: 0x12a40d09
Variable types: 2129 continuous, 52604 integer (19481 binary)
Coefficient statistics:
  Matrix range     [1e+00, 3e+02]
  Objective range  [8e-03, 8e+04]
  Bounds range     [1e+00, 1e+01]
  RHS range        [1e+00, 1e+04]
Presolve removed 25508 rows and 45396 columns
Presolve time: 0.26s
Presolved: 1424 rows, 9337 columns, 29413 nonzeros
Variable types: 216 continuous, 9121 integer (8776 binary)
Found heuristic solution: objective 727447.64774
Root relaxation presolved: 1424 rows, 9337 columns, 29413 nonzeros


Use crossover to convert LP symmetric solution to basic solution...

Root relaxation: objective 2.269519e+05, 4222 iterations, 0.10 seconds (0.08 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  4246  3715 238245.392   94   19 363755.633 238245.392  34.5%  42.6  365s
  4313  3782 238245.392   84   15 363755.633 238245.392  34.5%  43.1  370s
  4381  3850 238245.392   75   15 363755.633 238245.392  34.5%  43.2  375s
  4448  3917 238245.392   70   15 363755.633 238245.392  34.5%  42.9  380s
  4521  3990 238245.392   79   19 363755.633 238245.392  34.5%  42.6  385s
  4567  4036 238245.392   81   30 363755.633 238245.392  34.5%  42.9  391s
  4616  4085 238245.392   88   14 363755.633 238245.392  34.5%  43.1  395s
  4688  4157 238245.392   73   16 363755.633 238245.392  34.5%  43.5  400s
  4760  4229 238245.392   66   15 363755.633 238245.392  34.5%  43.1  405s
  4830  4299 238245.392   73   15 363755.633 238245.392  34.5%  42.7  410s
  4895  4364 238245.392   67   15 363755.633 238245.392  34.5%  42.3  415s
  4957  4426 238245.392   73   15 363755.633 238245.392  34.5%  42.2  420s
  5011  4480 238245.392   82   15 363755.633 238245.392  34.5%  42.3  425s
  5072  4541 238245.392   84   17 363755.633 238245.392  34.5%  42.4  430s
  5132  4601 238245.392   90   26 363755.633 238245.392  34.5%  42.9  435s
  5172  4641 238245.392   87   15 363755.633 238245.392  34.5%  43.4  440s
  5228  4697 238245.392   91   15 363755.633 238245.392  34.5%  43.7  445s
  5285  4754 238245.392   94   38 363755.633 238245.392  34.5%  44.3  450s
  5345  4814 238245.392   95   33 363755.633 238245.392  34.5%  44.9  455s
  5398  4867 238245.392   95   17 363755.633 238245.392  34.5%  45.5  460s
  5464  4933 238245.392  103   19 363755.633 238245.392  34.5%  46.2  465s
  5493  4962 238245.392  105   29 363755.633 238245.392  34.5%  46.5  470s
  5556  5025 238245.392   97   19 363755.633 238245.392  34.5%  47.0  475s
  5616  5085 238245.392  117   15 363755.633 238245.392  34.5%  47.2  480s
  5678  5147 238245.392   97   19 363755.633 238245.392  34.5%  47.6  485s
  5734  5203 238245.392   92   15 363755.633 238245.392  34.5%  47.9  490s
  5790  5259 238245.392   98   21 363755.633 238245.392  34.5%  48.5  497s
  5829  5298 238245.392   94   39 363755.633 238245.392  34.5%  48.9  500s
  5887  5356 238245.392   82   17 363755.633 238245.392  34.5%  49.0  505s
  5939  5408 238245.392   80   26 363755.633 238245.392  34.5%  49.1  510s
  5997  5466 238245.392   85   15 363755.633 238245.392  34.5%  49.2  515s
  6061  5530 238245.392   85   15 363755.633 238245.392  34.5%  49.9  520s
  6120  5589 238245.392   86   15 363755.633 238245.392  34.5%  50.3  525s
  6170  5639 238245.392   92   15 363755.633 238245.392  34.5%  50.5  531s
  6202  5671 238245.392   92   15 363755.633 238245.392  34.5%  50.8  535s
  6268  5737 238245.392   96   17 363755.633 238245.392  34.5%  51.3  540s
  6330  5799 238245.392   93   19 363755.633 238245.392  34.5%  51.8  545s
  6389  5858 238245.392   96   15 363755.633 238245.392  34.5%  52.2  550s
  6446  5915 238245.392  100   17 363755.633 238245.392  34.5%  52.6  555s
  6500  5969 238245.392   81   17 363755.633 238245.392  34.5%  52.6  560s
  6555  6024 238245.392   83   15 363755.633 238245.392  34.5%  52.9  565s
  6615  6084 238245.392   87   14 363755.633 238245.392  34.5%  53.5  570s
  6638  6107 238245.392   89   14 363755.633 238245.392  34.5%  53.7  576s
  6689  6158 238245.392   84   15 363755.633 238245.392  34.5%  54.0  580s
  6746  6215 238245.392   90   36 363755.633 238245.392  34.5%  54.2  585s
  6800  6269 238245.392   93   32 363755.633 238245.392  34.5%  54.5  590s
  6859  6328 238245.392   82   14 363755.633 238245.392  34.5%  54.9  595s
  6908  6377 238245.392   88   34 363755.633 238245.392  34.5%  55.3  600s
  6976  6445 238245.392   93   26 363755.633 238245.392  34.5%  55.9  605s
  7033  6502 238245.392   88   14 363755.633 238245.392  34.5%  56.2  610s
  7094  6563 238245.392   93   30 363755.633 238245.392  34.5%  56.8  615s
  7148  6617 238245.392   95   26 363755.633 238245.392  34.5%  57.2  620s
  7211  6680 238245.392   90   15 363755.633 238245.392  34.5%  57.3  625s
  7278  6747 238245.392   95   15 363755.633 238245.392  34.5%  57.4  630s
  7336  6805 238245.392  101   15 363755.633 238245.392  34.5%  57.7  637s
  7363  6832 238245.392  104   32 363755.633 238245.392  34.5%  57.9  640s
  7427  6886 238245.392  109   15 363755.633 238245.392  34.5%  58.2  645s
  7499  6956 238245.392   79   15 363755.633 238245.392  34.5%  58.6  650s
  7561  7018 238245.392   85   17 363755.633 238245.392  34.5%  58.8  655s
  7626  7083 238245.392   89   19 363755.633 238245.392  34.5%  58.9  660s
  7693  7150 238245.392   92   15 363755.633 238245.392  34.5%  59.3  665s
  7734  7191 238245.392   83   15 363755.633 238245.392  34.5%  59.5  674s
  7742  7199 238245.392   86   19 363755.633 238245.392  34.5%  59.6  675s
  7813  7270 238245.392   84   14 363755.633 238245.392  34.5%  59.7  680s
  7875  7332 238245.392   91   19 363755.633 238245.392  34.5%  59.7  685s
  7934  7391 238245.392   95   19 363755.633 238245.392  34.5%  60.0  690s
  8001  7458 238245.392   98   42 363755.633 238245.392  34.5%  60.4  695s
  8066  7523 238245.392  104   38 363755.633 238245.392  34.5%  60.9  700s
  8135  7592 238245.392   75   15 363755.633 238245.392  34.5%  61.1  705s
  8207  7664 238245.392   86   15 363755.633 238245.392  34.5%  61.0  710s
  8278  7735 238245.392   91   19 363755.633 238245.392  34.5%  61.4  715s
  8344  7801 238245.392   96   14 363755.633 238245.392  34.5%  61.9  720s
  8413  7870 238245.392   91   19 363755.633 238245.392  34.5%  62.3  725s
  8477  7934 238245.392  108   40 363755.633 238245.392  34.5%  62.7  730s
  8537  7990 238245.392  112   15 363755.633 238245.392  34.5%  62.9  735s
  8606  8059 238245.392  118   35 363755.633 238245.392  34.5%  63.3  740s
  8663  8116 238245.392  120   38 363755.633 238245.392  34.5%  63.6  745s
  8725  8178 238245.392  124   31 363755.633 238245.392  34.5%  63.9  750s
  8792  8245 238245.392   88   15 363755.633 238245.392  34.5%  64.5  755s
  8856  8309 238245.392   78   17 363755.633 238245.392  34.5%  64.3  760s
  8916  8369 238245.392   77   14 363755.633 238245.392  34.5%  64.2  765s
  8985  8438 238245.392   73   15 363755.633 238245.392  34.5%  64.4  770s
  9057  8510 238245.392   78   15 363755.633 238245.392  34.5%  64.3  775s
  9093  8546 238245.392   81   15 363755.633 238245.392  34.5%  64.4  780s
  9165  8618 238245.392   87   17 363755.633 238245.392  34.5%  64.7  785s
  9239  8692 238245.392   89   19 363755.633 238245.392  34.5%  64.7  790s
  9314  8767 238245.392   90   19 363755.633 238245.392  34.5%  64.8  795s
  9384  8837 238245.392   94   15 363755.633 238245.392  34.5%  64.9  800s
  9446  8899 238245.392   98   15 363755.633 238245.392  34.5%  65.0  805s
H 9473  8924                    363545.95071 238245.392  34.5%  65.1  809s
  9481  8934 238245.392   89   15 363545.951 238245.392  34.5%  65.2  810s
  9551  9004 238245.392   84   14 363545.951 238245.392  34.5%  65.2  815s
  9623  9076 238245.392   90   14 363545.951 238245.392  34.5%  65.2  820s
  9693  9146 238245.392   94   14 363545.951 238245.392  34.5%  65.5  825s
  9762  9215 238245.392   85   15 363545.951 238245.392  34.5%  65.8  830s
  9829  9282 238245.392   87   19 363545.951 238245.392  34.5%  65.9  835s
  9902  9355 238245.392   88   32 363545.951 238245.392  34.5%  66.1  840s
  9974  9427 238245.392   84   19 363545.951 238245.392  34.5%  66.3  845s
 10010  9463 238245.392   77   24 363545.951 238245.392  34.5%  66.4  850s
 10077  9530 238245.392   74   15 363545.951 238245.392  34.5%  66.3  855s
 10145  9598 238245.392   84   15 363545.951 238245.392  34.5%  66.3  860s
 10207  9660 238245.392   81   28 363545.951 238245.392  34.5%  66.5  865s
 10276  9729 238245.392   96   14 363545.951 238245.392  34.5%  66.5  870s
 10324  9777 238245.392   83   23 363545.951 238245.392  34.5%  66.6  877s
 10362  9815 238245.392   87   32 363545.951 238245.392  34.5%  66.8  880s
 10431  9884 238245.392   94   19 363545.951 238245.392  34.5%  66.9  885s
 10496  9949 238245.392   74   15 363545.951 238245.392  34.5%  67.0  890s
 10554 10007 238245.392   81   30 363545.951 238245.392  34.5%  67.0  895s
 10615 10068 238245.392   90   15 363545.951 238245.392  34.5%  67.2  900s
 10678 10131 238245.392   78   17 363545.951 238245.392  34.5%  67.2  905s
 10739 10192 238245.392   75   15 363545.951 238245.392  34.5%  67.2  910s
 10799 10252 238245.392   80   17 363545.951 238245.392  34.5%  67.2  915s
 10866 10319 238245.392   94   19 363545.951 238245.392  34.5%  67.1  920s
 10928 10381 238245.392   91   15 363545.951 238245.392  34.5%  67.3  925s
